neighbour_id,neighbour_name,district_id,district_name,municipality_name,nom_arr,centroid_longitude,centroid_latitude
53,Rivière-des-Prairies,33.0,Rivière-des-Prairies–Pointe-aux-Trembles,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,-73.6066740000013,45.63695100000283
24,Beaurivage,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
23,Tétreaultville,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
22,Dupéré,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
25,Guybourg,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
26,Longue-Pointe,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
21,Louis-Riel,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
20,Marie-Victorin,24.0,Rosemont–La Petite-Patrie,Montréal,Rosemont–La Petite-Patrie,-73.59643000000128,45.538473000002845
28,Maisonneuve,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
08,René-Goupil,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.6267780000013,45.56778000000284
07,Sainte-Lucie,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.6267780000013,45.56778000000284
04,Sault-au-Récollet,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66125200000128,45.56063100000284
05,Saint-Sulpice,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66125200000128,45.56063100000284
03,Nicolas-Viel,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66125200000128,45.56063100000284
10,François-Perrault,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.6267780000013,45.56778000000284
43,Savane,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.6306940000013,45.47185300000284
40,Snowdon,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.6306940000013,45.47185300000284
46,Côte-Saint-Antoine,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.6306940000013,45.47185300000284
49,Ville-Émard,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.58453100000129,45.45266800000284
50,Saint-Henri,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.58453100000129,45.45266800000284
48,Côte-Saint-Paul,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.58453100000129,45.45266800000284
47,Pointe-Saint-Charles,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.58453100000129,45.45266800000284
51,Petite-Bourgogne,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.58453100000129,45.45266800000284
39,Montagne,19.0,Ville-Marie,Montréal,Ville-Marie,-73.55952200000127,45.51703100000284
38,René-Lévesque,19.0,Ville-Marie,Montréal,Ville-Marie,-73.55952200000127,45.51703100000284
41,Édouard-Montpetit,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.6306940000013,45.47185300000284
42,Parc-Kent,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.6306940000013,45.47185300000284
27,Hochelaga,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.53324600000127,45.595949000002825
